MESSAGE_ID,MESSAGE_TYPE,SYMBOL,PRICE,SIZE,TRADE_ID,TRADE_FLAGS
31988,TRADE,AMD,32.59,50,1492151,INTERMARKET_SWEEP| EXTENDED_HOURS| ODD_LOT
39622,TRADE,AMD,32.67,100,2651237,| EXTENDED_HOURS
47602,TRADE,AMD,32.85,100,4169597,INTERMARKET_SWEEP| EXTENDED_HOURS
59100,TRADE,AMD,32.98,100,5079336,INTERMARKET_SWEEP| EXTENDED_HOURS
60074,TRADE,AMD,33.05,100,5118470,INTERMARKET_SWEEP| EXTENDED_HOURS
93394,TRADE,AMD,32.91,100,7102171,INTERMARKET_SWEEP| REGULAR_HOURS
97645,TRADE,AMD,32.9,80,7579371,INTERMARKET_SWEEP| REGULAR_HOURS| ODD_LOT
97661,TRADE,AMD,32.9,100,7580149,INTERMARKET_SWEEP| REGULAR_HOURS
101256,TRADE,AMD,32.92,200,7736937,| REGULAR_HOURS
103053,TRADE,AMD,32.96,100,7834216,| REGULAR_HOURS
103541,TRADE,AMD,32.97,100,7866680,INTERMARKET_SWEEP| REGULAR_HOURS
105302,TRADE,AMD,32.98,10,7957185,| REGULAR_HOURS| ODD_LOT
107818,TRADE,AMD,32.99,100,8108050,| REGULAR_HOURS
108006,TRADE,AMD,32.985,100,8118083,| REGULAR_HOURS
110940,TRADE,AMD,32.92,100,8308835,| REGULAR_HOURS
110941,TRADE,AMD,32.92,100,8308868,| REGULAR_HOURS
112425,TRADE,AMD,32.895,100,8448840,| REGULAR_HOURS
112443,TRADE,AMD,32.9,100,8450316,| REGULAR_HOURS
113315,TRADE,AMD,32.92,100,8502155,INTERMARKET_SWEEP| REGULAR_HOURS
114151,TRADE,AMD,32.9,100,8548369,INTERMARKET_SWEEP| REGULAR_HOURS| TRADE_THROUGH_EXEMPT
115901,TRADE,AMD,32.88,100,8648126,| REGULAR_HOURS
115994,TRADE,AMD,32.89,100,8649695,| REGULAR_HOURS
116343,TRADE,AMD,32.89,100,8663438,| REGULAR_HOURS
116917,TRADE,AMD,32.85,100,8696168,| REGULAR_HOURS
117171,TRADE,AMD,32.89,100,8716225,| REGULAR_HOURS
117300,TRADE,AMD,32.85,100,8726379,INTERMARKET_SWEEP| REGULAR_HOURS
117311,TRADE,AMD,32.83,100,8727060,INTERMARKET_SWEEP| REGULAR_HOURS
117312,TRADE,AMD,32.83,100,8727073,INTERMARKET_SWEEP| REGULAR_HOURS
117421,TRADE,AMD,32.83,100,8731413,| REGULAR_HOURS
117666,TRADE,AMD,32.86,100,8742402,| REGULAR_HOURS
118009,TRADE,AMD,32.88,100,8758919,| REGULAR_HOURS
118470,TRADE,AMD,32.88,100,8780049,INTERMARKET_SWEEP| REGULAR_HOURS
118524,TRADE,AMD,32.89,100,8782226,| REGULAR_HOURS
118630,TRADE,AMD,32.84,100,8788417,| REGULAR_HOURS
120974,TRADE,AMD,32.88,100,8951760,INTERMARKET_SWEEP| REGULAR_HOURS
123295,TRADE,AMD,32.86,100,9062897,INTERMARKET_SWEEP| REGULAR_HOURS| TRADE_THROUGH_EXEMPT
124222,TRADE,AMD,32.88,100,9106416,| REGULAR_HOURS
124330,TRADE,AMD,32.87,100,9113272,INTERMARKET_SWEEP| REGULAR_HOURS
124469,TRADE,AMD,32.86,100,9123038,| REGULAR_HOURS
124482,TRADE,AMD,32.86,100,9123352,| REGULAR_HOURS
124650,TRADE,AMD,32.88,100,9130682,| REGULAR_HOURS
124824,TRADE,AMD,32.86,100,9139487,INTERMARKET_SWEEP| REGULAR_HOURS
124825,TRADE,AMD,32.86,100,9139497,INTERMARKET_SWEEP| REGULAR_HOURS
124833,TRADE,AMD,32.88,100,9139609,| REGULAR_HOURS
127110,TRADE,AMD,32.86,100,9280984,| REGULAR_HOURS
127358,TRADE,AMD,32.91,100,9298211,INTERMARKET_SWEEP| REGULAR_HOURS
127435,TRADE,AMD,32.88,100,9302235,| REGULAR_HOURS
127454,TRADE,AMD,32.88,100,9303772,INTERMARKET_SWEEP| REGULAR_HOURS
127461,TRADE,AMD,32.87,100,9303920,INTERMARKET_SWEEP| REGULAR_HOURS
127462,TRADE,AMD,32.87,100,9303930,INTERMARKET_SWEEP| REGULAR_HOURS
127573,TRADE,AMD,32.9,100,9310320,| REGULAR_HOURS
127575,TRADE,AMD,32.9,100,9310344,| REGULAR_HOURS
128087,TRADE,AMD,32.9,100,9342061,INTERMARKET_SWEEP| REGULAR_HOURS
128088,TRADE,AMD,32.9,200,9342072,INTERMARKET_SWEEP| REGULAR_HOURS
128091,TRADE,AMD,32.9,100,9342146,INTERMARKET_SWEEP| REGULAR_HOURS
128103,TRADE,AMD,32.89,100,9342796,INTERMARKET_SWEEP| REGULAR_HOURS
128116,TRADE,AMD,32.89,50,9343443,INTERMARKET_SWEEP| REGULAR_HOURS| ODD_LOT
129909,TRADE,AMD,32.91,100,9439032,| REGULAR_HOURS
129919,TRADE,AMD,32.9,100,9439688,| REGULAR_HOURS
130565,TRADE,AMD,32.9,100,9479870,| REGULAR_HOURS
131499,TRADE,AMD,32.9,100,9519788,| REGULAR_HOURS
132277,TRADE,AMD,32.86,100,9560070,| REGULAR_HOURS
132948,TRADE,AMD,32.91,100,9595557,| REGULAR_HOURS
133199,TRADE,AMD,32.88,100,9608993,| REGULAR_HOURS
